,Location.No.,Road.Name,Lat,Long,Survey.Date,District,road_width,crash_count,outcome,car_vol,mtw_vol,m3w_vol,bus_vol,LCV_vol,HCV_vol,cycle_vol,cyr_vol,ecyr_vol,total_vol,origin_segment_for_speed_calculation,destination_segment_for_speed_calculation,speed_00.30,speed_01.30,speed_02.30,speed_03.30,speed_04.30,speed_05.30,speed_06.30,speed_07.30,speed_08.30,speed_09.30,speed_10.30,speed_11.30,speed_12.30,speed_13.30,speed_14.30,speed_15.30,speed_16.30,speed_17.30,speed_18.30,speed_19.30,speed_20.30,speed_21.30,speed_22.30,speed_23.30,average_speed,pop_100m_buffer,length_segment
25,25,Maa Anandmayee Marg ,28.51455,77.28108,21-02-2018,South East ,11,4,1,5455,13675,2024,332,579,480,1643,89,14,24291,"28.512768029036618, 77.28123947188436","28.51628295338105, 77.28025949280844",35.14285714,34.3255814,32.8,36.9,35.14285714,36,37.84615385,36.9,34.3255814,28.94117647,30.12244898,31.40425532,30.75,32.8,32.8,32.8,33.54545455,31.40425532,33.54545455,32.8,32.8,34.3255814,34.3255814,35.14285714,33.62042067,2778.003175,5875.91
26,26,Guru Ravidas Marg ,28.54177,77.26279,21-02-2018,South East ,7,0,0,1829,4231,2140,132,225,40,589,219,1159,10564,"28.540078978958963, 77.26217232777867","28.543444770862475, 77.26356776372268",25.32631579,29.46122449,30.075,32.80909091,34.37142857,35.2097561,32.08,29.46122449,28.872,24.88965517,22.55625,22.91428571,21.87272727,21.87272727,21.87272727,20.62285714,18.99473684,16.98352941,15.35744681,12.77522124,13.88076923,14.88247423,16.98352941,21.22941176,23.55643288,3523.3211,4174.94
27,27,Outer Ring Road ,28.54837,77.18941,22-02-2018,South,13,0,0,20516,12000,4352,386,803,582,375,53,0,39067,"28.549100432268993, 77.18751211483541","28.547692032702273, 77.19127139934893",53.2,55.24615385,55.24615385,55.24615385,53.2,55.24615385,55.24615385,51.3,47.88,33.40465116,36.83076923,38.82162162,31.92,32.64545455,35.91,38.82162162,39.9,35.91,32.64545455,38.82162162,39.9,43.52727273,46.33548387,49.53103448,44.03065645,1295.569408,2082.42
28,28,Aurbindo Marg ,28.54286,77.20039,22-02-2018,South ,10,0,0,11632,8029,3332,316,287,175,667,61,1,24500,"28.541196991085677, 77.19962694842415","28.54449305730745, 77.20125338757558",25.26315789,26.18181818,28.23529412,28.8,28.23529412,28.8,26.66666667,22.5,21.17647059,17.14285714,18.46153846,17.34939759,17.34939759,16.94117647,17.77777778,18.7012987,18,13.09090909,13.84615385,15.48387097,15.31914894,19.7260274,23.22580645,24,20.92808592,1547.975988,1888.21
29,29,Shankar Road ,28.63987,77.17764,23-02-2018,West ,7,0,0,5949,5036,1719,329,120,33,164,55,54,13459,"28.64095671658448, 77.17598748320754","28.638907103164296, 77.17938023260771",30.94468085,31.6173913,30.94468085,35.47317073,37.29230769,36.36,34.62857143,26.44363636,25.07586207,23.08571429,22.725,21.07826087,19.65405405,22.37538462,22.37538462,22.37538462,21.38823529,20.2,19.92328767,19.65405405,20.77714286,23.45806452,26.93333333,29.68163265,26.01938478,1184.5094,3301.08
30,30,Guru Gobind Singh Marg ,28.65531,77.19932,23-02-2018,Central ,10,0,0,5972,9059,2995,177,893,139,280,417,142,20074,"28.656178736505677, 77.19749608627549","28.654355761444528, 77.20105342605274",32.89090909,36.18,37.10769231,37.10769231,42.56470588,41.34857143,29.53469388,28.944,23.34193548,19.82465753,18.31898734,17.86666667,17.22857143,18.31898734,18.31898734,17.86666667,18.09,19.04210526,17.64878049,18.09,16.08,17.64878049,18.09,20.38309859,24.24318706,4092.511,5229.28
31,31,Bawana Road ,28.81147,77.05364,24-02-2018,North ,7,1,1,1394,2093,50,127,292,207,90,39,55,4347,"28.812758155315652, 77.05511093525541","28.8102037948224, 77.05218368758304",39.21081081,46.8,21.65373134,40.3,41.45142857,50.02758621,41.45142857,41.45142857,43.96363636,42.67058824,40.3,33.73953488,38.17894737,41.45142857,40.3,39.21081081,41.45142857,42.67058824,39.21081081,35.38536585,30.225,39.21081081,36.27,38.17894737,39.36517966,337.38392,16135
32,32,Auchandi Bawana ,28.80485,77.02714,24-02-2018,North ,7,0,0,1770,2228,15,129,216,170,92,25,17,4662,"28.805851196415812, 77.02543931540377","28.80362202485699, 77.02864202346419",39.01621622,35.2097561,32.80909091,35.2097561,34.37142857,37.98947368,37.98947368,37.98947368,36.09,37.01538462,35.2097561,34.37142857,36.09,36.09,39.01621622,37.01538462,37.98947368,39.01621622,37.01538462,35.2097561,35.2097561,39.01621622,35.2097561,34.37142857,36.43836778,1096.49774,5989.06
33,33,Mayapuri Road ,28.62364,77.11833,26-02-2018,West ,10,1,1,5823,10289,1337,512,1336,251,2097,294,401,22340,"28.622180017476964, 77.11714294708513","28.625079911905313, 77.11957881713215",32.08,32.80909091,34.37142857,40.1,40.1,42.45882353,37.01538462,27.23773585,28.872,24.88965517,24.06,22.91428571,22.55625,17.39277108,24.06,22.91428571,22.91428571,25.32631579,21.87272727,20.92173913,21.54626866,24.06,28.872,30.075,27.89250199,3838.727571,6487.07
34,34,Satguru Ram Singh Marg ,28.64434,77.1382,26-02-2018,West ,7,1,1,4627,6196,1141,147,878,211,632,497,1049,15378,"28.64289157543036, 77.13697639753465","28.645697639078023, 77.13956165151883",38.08421053,40.2,39.11351351,37.10769231,39.11351351,48.24,42.56470588,39.11351351,41.34857143,37.10769231,28.944,24.52881356,24.12,24.52881356,23.34193548,24.52881356,24.95172414,25.38947368,24.52881356,24.12,25.84285714,32.89090909,37.10769231,41.34857143,32.84024294,3603.703434,5677.66
